num,word,pinyin,radical,stroke_count,wuxing,traditional,wubi,pinyin_initial,pinyin_final,tone
1958,俺,ǎn,亻,10,土,俺,WDJN,,an,3
1959,倾,qīng,亻,10,木,傾,WXDM,q,ing,1
1960,倒,"dǎo,dào",亻,10,火,倒,WGCJ,d,ao,3
1961,倘,"tǎng,cháng",亻,10,火,倘,WIMK,t,ang,3
1962,俱,"jù,jū",亻,10,木,俱,WHWY,j,u,4
1963,倡,"chàng,chāng",亻,10,金,倡,WJJG,ch,ang,4
1964,候,hòu,亻,10,水,候,WHND,h,ou,4
1965,赁,lìn,贝,10,火,賃,WTFM,l,in,4
1966,俯,fǔ,亻,10,水,俯,WYWF,f,u,3
1967,倍,bèi,亻,10,水,倍,WUKG,b,ei,4
1968,倦,juàn,亻,10,木,倦,WUDB,j,uan,4
1969,健,jiàn,亻,10,木,健,WVFP,j,ian,4
1970,臭,"chòu,xiù",自,10,水,臭,THDU,ch,ou,4
1971,射,"shè,yè,yì",身,10,金,射,TMDF,sh,e,4
1972,躬,gōng,身,10,木,躬,TMDX,g,ong,1
1973,息,xī,自,10,金,息,THNU,x,i,1
1974,倔,"juè,jué",亻,10,火,倔,WNBM,j,ue,2
1975,徒,tú,彳,10,火,徒,TFHY,t,u,2
1976,徐,xú,彳,10,金,徐,TWTY,x,u,2
1977,殷,"yīn,yān,yǐn",殳,10,土,殷,RVNC,y,in,1
1978,舰,jiàn,舟,10,木,艦,TEMQ,j,ian,4
1979,舱,cāng,舟,10,金,艙,TEWB,c,ang,1
1980,般,"bān,bō,pán",舟,10,水,般,TEMC,b,an,1
1981,航,háng,舟,10,水,航,TEYM,h,ang,2
1982,途,tú,辶,10,金,途,WTPI,t,u,2
1983,拿,ná,人,10,火,拿,WGKR,n,a,2
1984,耸,sǒng,耳,10,金,聳,WWBF,s,ong,3
1985,爹,diē,父,10,火,爹,WQQQ,d,ie,1
1986,舀,yǎo,爫,10,火,舀,EVF,y,ao,3
1987,爱,ài,爫,10,土,愛,EPDC,,ai,4
1988,豺,chái,豸,10,金,豺,EEFT,ch,ai,2
1989,豹,bào,豸,10,水,豹,EEQY,b,ao,4
1990,颁,bān,页,10,水,頒,WVDM,b,an,1
1991,颂,sòng,页,10,木,頌,WCDM,s,ong,4
1992,翁,wēng,羽,10,土,翁,WCNF,w,eng,1
1993,胰,yí,月,10,土,胰,EGXW,y,i,2
1994,脆,cuì,月,10,金,脆,EQDB,c,ui,4
1995,脂,zhī,月,10,金,脂,EXJG,zh,i,1
1996,胸,xiōng,月,10,金,胸,EQQB,x,iong,1
1997,胳,"gē,gé,gā",月,10,木,胳,ETKG,g,e,1
1998,脏,"zāng,zàng",月,10,金,臟、髒,EYFG,z,ang,4
1999,脐,qí,月,10,木,臍,EYJH,q,i,2
2000,胶,jiāo,月,10,木,膠,EUQY,j,iao,1
2001,脑,nǎo,月,10,火,腦,,n,ao,3
2002,脓,nóng,月,10,火,膿,EPEY,n,ong,2
2003,逛,guàng,辶,10,木,逛,QTGP,g,uang,4
2004,狸,lí,犭,10,火,狸,QTJF,l,i,2
2005,狼,láng,犭,10,火,狼,QTYE,l,ang,2
2006,卿,qīng,卩,10,木,卿,QTVB,q,ing,1
2007,逢,féng,辶,10,水,逢,TDHP,f,eng,2
2008,鸵,tuó,鸟,10,火,鸵,QYNX,t,uo,2
2009,留,liú,田,10,火,留,QYVL,l,iu,2
2010,鸳,yuān,鸟,10,土,鴛,QBQG,y,uan,1
2011,皱,zhòu,皮,10,金,皺,QVHC,zh,ou,4
2012,饿,è,饣,10,木,餓,QNTT,,e,4
2013,馁,něi,饣,10,火,餒,QNEV,n,ei,3
2014,凌,líng,冫,10,火,凌,UFWT,l,ing,2
2015,凄,qī,冫,10,水,凄,UGVV,q,i,1
2016,恋,liàn,心,10,火,戀,YONU,l,ian,4
2017,桨,jiǎng,木,10,木,槳,UQSU,j,iang,3
2018,浆,"jiāng,jiàng",水,10,水,漿,UQIU,j,iang,1
2019,衰,"shuāi,cuī",亠,10,金,衰,YKGE,sh,uai,1
2020,衷,zhōng,亠,10,火,衷,YKHE,zh,ong,1
2021,高,gāo,高,10,木,高,YMKF,g,ao,1
2022,郭,guō,阝,10,木,郭,YBBH,g,uo,1
2023,席,xí,广,10,金,席,YAMH,x,i,2
2024,准,zhǔn,冫,10,土,準,UWYG,zh,un,3
2025,座,zuò,广,10,金,座,YWWF,z,uo,4
2026,症,"zhèng,zhēng",疒,10,金,癥,UGHD,zh,eng,4
2027,病,bìng,疒,10,水,病,UGMW,b,ing,4
2028,疾,jí,疒,10,火,疾,UTDI,j,i,2
2029,斋,zhāi,文,10,金,齋,YDMJ,zh,ai,1
2030,疹,zhěn,疒,10,金,疹,UWEE,zh,en,3
2031,疼,téng,疒,10,火,疼,UTUI,t,eng,2
2032,疲,pí,疒,10,水,疲,UHCI,p,i,2
